x;linear;cubic
0,92000002;1,261561;1,254591
0,93000001;1,2606857;1,2537131
0,94;1,2598104;1,2528352
0,94999999;1,2588557;1,2518806
0,95999998;1,257901;1,2509261
0,97000003;1,2569755;1,2500036
0,98000002;1,2560501;1,2490811
0,99000001;1,2551947;1,2482238
1;1,2543392;1,2473664
1,01;1,2534509;1,246475
1,02;1,2525625;1,2455835
1,03;1,2516141;1,2446386
1,04;1,2506655;1,2436936
1,05;1,2497636;1,2427934
1,0599999;1,2488617;1,2418933
1,0700001;1,2480205;1,2410464
1,08;1,2471795;1,2401996
1,09;1,2462771;1,2392972
1,1;1,2453748;1,2383949
1,11;1,2444205;1,237447
1,12;1,2434661;1,2364993
1,13;1,2426028;1,2356322
1,14;1,2417395;1,2347651
1,15;1,2409135;1,2339318
1,16;1,2400875;1,2330986
1,17;1,2391422;1,2321603
1,1799999;1,2381967;1,231222
1,1900001;1,2372534;1,2302833
1,2;1,2363102;1,2293445
1,21;1,2355151;1,2285373
1,22;1,2347201;1,2277302
1,23;1,2338657;1,2268746
1,24;1,2330115;1,2260191
1,25;1,2320049;1,2250264
1,26;1,2309983;1,2240335
1,27;1,230132;1,2231603
1,28;1,2292657;1,2222871
1,29;1,2285267;1,2215323
1,3;1,2277877;1,2207776
1,3099999;1,226826;1,2198291
1,3200001;1,2258642;1,2188805
1,33;1,2248514;1,2178777
1,34;1,2238384;1,216875
1,35;1,2231195;1,2161324
1,36;1,2224005;1,2153897
1,37;1,2216136;1,2145982
1,38;1,2208269;1,2138067
1,39;1,2197237;1,2127299
1,4;1,2186207;1,211653
1,41;1,2177451;1,2107663
1,42;1,2168695;1,2098796
1,4299999;1,2162664;1,2092458
1,4400001;1,2156633;1,2086118
1,45;1,2146745;1,207644
1,46;1,2136855;1,2066762
1,47;1,2125583;1,2055686
1,48;1,211431;1,2044607
1,49;1,2108151;1,2038045
1,5;1,2101991;1,2031484
1,51;1,2095141;1,2024512
1,52;1,2088293;1,2017542
1,53;1,2076025;1,2005687
1,54;1,2063758;1,199383
1,55;1,2054721;1,1984644
1,5599999;1,2045684;1,1975458
1,5700001;1,2041252;1,1970528
1,58;1,2036821;1,1965599
1,59;1,2026877;1,1955907
1,6;1,2016934;1,1946217
1,61;1,2004519;1,1934078
1,62;1,1992103;1,1921939
1,63;1,1986642;1,1915946
1,64;1,1981181;1,1909952
1,65;1,1975384;1,190393
1,66;1,1969588;1,1897907
1,67;1,1956873;1,1885637
1,6799999;1,1944159;1,1873367
1,6900001;1,1934752;1,1863798
1,7;1,1925346;1,185423
1,71;1,1921445;1,1849761
1,72;1,1917545;1,1845291
1,73;1,1908345;1,1836238
1,74;1,1899147;1,1827186
1,75;1,1886916;1,1815169
1,76;1,1874685;1,180315
1,77;1,1868575;1,1796579
1,78;1,1862465;1,1790007
1,79;1,1856875;1,1784153
1,8;1,1851285;1,17783
1,8099999;1,1840299;1,1767504
1,8200001;1,1829314;1,1756707
1,83;1,1819805;1,1747062
1,84;1,1810296;1,1737417
1,85;1,1804826;1,1731607
1,86;1,1799358;1,1725796
1,87;1,1791577;1,1717954
1,88;1,1783798;1,1710111
1,89;1,1773704;1,1699975
1,9;1,1763611;1,1689837
1,91;1,1755831;1,1681917
1,92;1,174805;1,1673998
1,9299999;1,174148;1,1667334
1,9400001;1,1734909;1,166067
1,95;1,1726685;1,1652299
1,96;1,171846;1,1643928
1,97;1,1709638;1,1635048
1,98;1,1698633;1,1626168
1,99;1,162421;1,1619451
2;1,1609389;1,1611589
2,01;1,1603361;1,1603695
2,02;1,1598704;1,1595867
2,03;1,1591264;1,1587987
2,04;1,1582637;1,1580229
2,05;1,1574473;1,1572478
2,0599999;1,1566869;1,1564689
2,0699999;1,1559405;1,1556945
2,0799999;1,1551789;1,1549244
2,0899999;1,1544023;1,1541531
2,0999999;1,1536301;1,1533827
2,1099999;1,1528671;1,152615
2,1199999;1,1521037;1,1518478
2,1300001;1,1513377;1,1510813
2,1400001;1,1505721;1,1503156
2,1500001;1,1498066;1,1495507
2,1600001;1,1490414;1,1487862
2,1700001;1,1482762;1,1480221
2,1800001;1,1475102;1,1472579
2,1900001;1,1467438;1,146494
2,2;1,145977;1,1457303
2,21;1,1452094;1,144966
2,22;1,1444412;1,1442015
2,23;1,1436725;1,143437
2,24;1,1429026;1,1426718
2,25;1,1421318;1,1419059
2,26;1,1413603;1,1411396
2,27;1,1405879;1,1403728
2,28;1,139814;1,1396047
2,29;1,1390395;1,138836
2,3;1,1382641;1,1380666
2,3099999;1,1374872;1,1372962
2,3199999;1,1367092;1,1365246
2,3299999;1,1359305;1,1357523
2,3399999;1,1351506;1,1349789
2,3499999;1,1343693;1,1342043
2,3599999;1,1335871;1,1334287
2,3699999;1,132804;1,1326523
2,3800001;1,1320196;1,1318744
2,3900001;1,131234;1,1310956
2,4000001;1,1304477;1,1303158
2,4100001;1,1296602;1,1295348
2,4200001;1,1288717;1,1287526
2,4300001;1,1280822;1,1279695
2,4400001;1,1272918;1,1271852
2,45;1,1265002;1,1263999
2,46;1,1257079;1,1256135
2,47;1,1249145;1,1248262
2,48;1,1241204;1,1240377
2,49;1,1233252;1,1232483
2,5;1,1225294;1,1224579
2,51;1,1217326;1,1216666
2,52;1,1209351;1,1208742
2,53;1,1201367;1,1200809
2,54;1,1193376;1,1192868
2,55;1,1185378;1,1184919
2,5599999;1,1177372;1,1176959
2,5699999;1,116936;1,1168993
2,5799999;1,116134;1,1161017
2,5899999;1,1153315;1,1153034
2,5999999;1,1145283;1,1145043
2,6099999;1,1137245;1,1137046
2,6199999;1,1129202;1,112904
2,6300001;1,1121151;1,1121027
2,6400001;1,1113096;1,1113008
2,6500001;1,1105037;1,1104982
2,6600001;1,1096971;1,109695
2,6700001;1,1088901;1,108891
2,6800001;1,1080825;1,1080866
2,6900001;1,1072745;1,1072816
2,7;1,1064661;1,1064759
2,71;1,1056572;1,1056697
2,72;1,1048479;1,104863
2,73;1,1040382;1,1040559
2,74;1,1032282;1,1032481
2,75;1,1024177;1,10244
2,76;1,1016068;1,1016313
2,77;1,1007957;1,1008222
2,78;1,0999842;1,1000127
2,79;1,0991724;1,0992028
2,8;1,0983602;1,0983924
2,8099999;1,0975478;1,0975816
2,8199999;1,096735;1,0967705
2,8299999;1,0959219;1,0959589
2,8399999;1,0951086;1,0951471
2,8499999;1,094295;1,094335
2,8599999;1,0934812;1,0935223
2,8699999;1,092667;1,0927095
2,8800001;1,0918527;1,0918963
2,8900001;1,0910381;1,0910828
2,9000001;1,0902233;1,0902691
2,9100001;1,0894083;1,089455
2,9200001;1,088593;1,0886407
2,9300001;1,0877776;1,0878261
2,9400001;1,0869619;1,0870112
2,95;1,0861461;1,0861962
2,96;1,08533;1,0853808
2,97;1,0845139;1,0845653
2,98;1,0836974;1,0837494
2,99;1,0828809;1,0829334
3;1,0820642;1,0821172
3,01;1,0812473;1,0813007
3,02;1,0804303;1,0804842
3,03;1,0796131;1,0796673
3,04;1,0787957;1,0788503
3,05;1,0779781;1,078033
3,0599999;1,0771606;1,0772157
3,0699999;1,0763428;1,076398
3,0799999;1,0755249;1,0755804
3,0899999;1,0747068;1,0747625
3,0999999;1,0738887;1,0739443
3,1099999;1,0730704;1,0731261
3,1199999;1,0722519;1,0723077
3,1300001;1,0714334;1,0714892
3,1400001;1,0706148;1,0706706
3,1500001;1,0697961;1,0698518
3,1600001;1,0689771;1,0690328
3,1700001;1,0681581;1,0682137
3,1800001;1,0673391;1,0673945
3,1900001;1,0665199;1,0665751
3,2;1,0657005;1,0657556
3,21;1,0648812;1,064936
3,22;1,0640616;1,0641162
3,23;1,0632421;1,0632964
3,24;1,0624224;1,0624764
3,25;1,0616026;1,0616564
3,26;1,0607827;1,0608361
3,27;1,0599626;1,0600158
3,28;1,0591426;1,0591953
3,29;1,0583223;1,0583748
3,3;1,057502;1,0575541
3,3099999;1,0566818;1,0567333
3,3199999;1,0558612;1,0559124
3,3299999;1,0550407;1,0550914
3,3399999;1,05422;1,0542703
3,3499999;1,0533993;1,053449
3,3599999;1,0525784;1,0526277
3,3699999;1,0517575;1,0518063
3,3800001;1,0509365;1,0509847
3,3900001;1,0501153;1,050163
3,4000001;1,0492941;1,0493413
3,4100001;1,0484728;1,0485194
3,4200001;1,0476513;1,0476974
3,4300001;1,0468298;1,0468752
3,4400001;1,0460081;1,0460531
3,45;1,0451864;1,0452306
3,46;1,0443646;1,0444082
3,47;1,0435425;1,0435857
3,48;1,0427204;1,0427629
3,49;1,0418983;1,0419401
3,5;1,0410759;1,0411171
3,51;1,0402535;1,0402939
3,52;1,039431;1,0394707
3,53;1,0386082;1,0386473
3,54;1,0377854;1,0378238
3,55;1,0369624;1,0370001
3,5599999;1,0361392;1,0361762
3,5699999;1,035316;1,0353522
3,5799999;1,0344926;1,0345281
3,5899999;1,033669;1,0337038
3,5999999;1,0328453;1,0328792
3,6099999;1,0320213;1,0320545
3,6199999;1,0311972;1,0312297
3,6300001;1,0303729;1,0304047
3,6400001;1,0295484;1,0295794
3,6500001;1,0287237;1,028754
3,6600001;1,0278988;1,0279282
3,6700001;1,0270737;1,0271024
3,6800001;1,0262483;1,0262762
3,6900001;1,0254228;1,0254499
3,7;1,0245969;1,0246232
3,71;1,0237709;1,0237963
3,72;1,0229446;1,0229691
3,73;1,022118;1,0221418
3,74;1,0212911;1,021314
3,75;1,0204639;1,0204861
3,76;1,0196365;1,0196577
3,77;1,0188088;1,0188292
3,78;1,0179807;1,0180002
3,79;1,0171523;1,017171
3,8;1,0163236;1,0163414
3,8099999;1,0154946;1,0155115
3,8199999;1,0146651;1,0146812
3,8299999;1,0138354;1,0138506
3,8399999;1,0130053;1,0130196
3,8499999;1,0121748;1,0121882
3,8599999;1,011344;1,0113565
3,8699999;1,0105127;1,0105244
3,8800001;1,009681;1,0096918
3,8900001;1,008849;1,0088589
3,9000001;1,0080166;1,0080255
3,9100001;1,0071838;1,0071919
3,9200001;1,0063505;1,0063577
3,9300001;1,005517;1,0055232
3,9400001;1,0046828;1,0046881
3,95;1,0038484;1,0038528
3,96;1,003013;1,0030165
3,97;1,0021769;1,0021794
3,98;1,0013373;1,001339
3,99;1,0004905;1,0004913
4;1;1
